BEL			BELL VILLE	Bell Ville	CÓRDOBA	AD	PUBLICO	NC	OK	131	-32.6583	-62.7019
BEX			BARADERO / BUENOS AIRES	Pueblo Alsina	BUENOS AIRES	AD	PRIVADO	NC	OK	26	-33.8586	-59.4691
BGI			BERAZATEGUI / ALAS DE MALVINAS	Ezpeleta	BUENOS AIRES	AD	PUBLICO	NC	OK	3	-34.7464	-58.2033
BHB			BAHÍA BLANCA / AEROCLUB	Bahía Blanca	BUENOS AIRES	AD	PRIVADO	NC	OK	15	-38.6719	-62.3525
BHT			BRAGADO / HARAS TRELLIRIS	Bragado	BUENOS AIRES	AD	PRIVADO	NC	CERRADO	60	-35.3315	-60.5788
BIO	SAWT	RYO	EL TURBIO / 28 DE NOVIEMBRE	El Turbio	SANTA CRUZ	AD	PUBLICO	NC	OK	273	-51.605	-72.2203
BLA			BALCARCE / EA. LA ALBORADA	Balcarce	BUENOS AIRES	AD	PRIVADO	NC	OK	64	-37.4628	-58.1883
BLC			BALCARCE / EST. LOS CARDOS	Balcarce	BUENOS AIRES	AD	PRIVADO	NC	OK	120	-37.7353	-58.0382
BLE			BALCARCE / EA. LA ESTRELLA	Balcarce	BUENOS AIRES	AD	PRIVADO	NC	OK	139	-37.5594	-58.6661
BLL			MIRAMAR / LAS CORTADERAS	Mechongue	BUENOS AIRES	AD	PRIVADO	NC	OK	16	-38.3547	-58.1086
BLN			LONDRES / BELÉN	Belén	CATAMARCA	AD	PRIVADO	NC	OK	1200	-27.7081	-67.095
BLO			BELL VILLE / LA OLGUITA		CÓRDOBA	AD		NC			-32.493	-62.6479
BLR	SAZI		BOLÍVAR	San Carlos de Bolivar	BUENOS AIRES	AD	PUBLICO	NC	OK	94	-36.1867	-61.0758
BMO			BRAGADO / MALFATO	Bragado	BUENOS AIRES	AD	PRIVADO	NC	OK	57	-35.1517	-60.5056
BOG			CORONEL BOGADO / FUMIGACIONES CAMPAGNUCCI	Coronel Bogado	SANTA FÉ	AD	PRIVADO	NC	OK	48	-33.324	-60.6662
BOL	SAVB	EHL	EL BOLSÓN	El Bolsón	RÍO NEGRO	AD	PUBLICO	NC	DESPLAZADO	348	-41.9432	-71.5322
BOM			BOMBAL / GRAN ANCONA	Bombal	SANTA FÉ	AD	PRIVADO	NC	OK	97	-33.4385	-61.3032
BOS			LOBOS	Lobos	BUENOS AIRES	AD	PUBLICO	NC	OK	29	-35.2108	-59.1367
BPS			BRINKMANN / PABLO SIERRA AEROAPLICACIONES	Brinckmann	CÓRDOBA	AD	PRIVADO	NC	OK	100	-30.9294	-62.0506
BRA			BRAGADO	Bragado	BUENOS AIRES	AD	PUBLICO	NC	OK	60	-35.1453	-60.4819
BRF			BAHÍA BLANCA / LA REFORMA	Bahía Blanca	BUENOS AIRES	AD	PRIVADO	NC	OK	67	-38.7305	-63.2872
BRQ			BUTA RANQUIL / EL PORTÓN	Buta Ranquil	NEUQUÉN	AD	PRIVADO	NC	OK	870	-37.195	-69.6097
BTA			BELLA VISTA (CORRIENTES)	Bella Vista	CORRIENTES	AD	PUBLICO	NC	OK	55	-28.5261	-59.0381
BTS			CORRAL DE BUSTOS	Corral de Bustos	CÓRDOBA	AD	PRIVADO	NC	OK	120	-33.2814	-62.1514
CAF			CAFAYATE	Cafayate	SALTA	AD	PRIVADO	NC	OK	1639	-26.0642	-65.9306
CAL			CAMPO ARENAL	Santa María	CATAMARCA	AD	PRIVADO	NC	OK	2324	-27.0722	-66.5864
CAM			CORRALITO / ALFONSO MENGO – (CAM) - DRNO - PRIVADO NO CONTROLADO [** USO AGROAÉREO **]	Corralito	CÓRDOBA	AD	PRIVADO	NC		545	-32.0244	-64.2794
CAT	SANC	CTC	CATAMARCA	San Fernando del Valle de Catamarca	CATAMARCA	AD	PUBLICO	C	OK	464	-28.5931	-65.7511
CAY			SAN CAYETANO	San Cayetano	BUENOS AIRES	AD	PRIVADO	NC	OK	100	-38.3339	-59.6303
CBA	SACO	COR	CÓRDOBA / ING. AER. A.L.V. TARAVELLA	Córdoba	CÓRDOBA	AD	PUBLICO	C	OK	489	-31.31	-64.2083
CBB			CAÑADA ROSQUÍN / B&B SERVICIOS AGROPECUARIOS	Cañada Rosquín	SANTA FÉ	AD	PRIVADO	NC	OK	73	-32.1116	-61.632
CBD			CABILDO	Cabildo	BUENOS AIRES	AD	PRIVADO	NC	OK	159	-38.4986	-61.8842
CCA	SATU	UZU	CURUZÚ CUATIÁ	Curuzú Cuatiá	CORRIENTES	AD	PUBLICO	NC	OK	70	-29.7725	-57.9828
CCH			CARLOS CASARES / HAYDEE – (CCH) - DRCE - PRIVADO NO CONTROLADO	Carlos Casares	BUENOS AIRES	AD	PRIVADO	NC		82	-35.6699	-61.4055
CCI			CALCHAQUÍ – (CCI) - DRNE - PRIVADO NO CONTROLADO	Calchaquí	SANTA FÉ	AD	PRIVADO	NC	OK	56	-29.8516	-60.292
CCM			CARLOS CASARES / MALATINI	Carlos Casares	BUENOS AIRES	AD	PRIVADO	NC	OK	82	-35.5692	-61.3682
CCO			CARLOS CASARES / OTTAVIANI	Carlos Casares	BUENOS AIRES	AD	PRIVADO	NC	OK	82	-35.6482	-61.3504
CCP			CONCEPCIÓN	Concepción	TUCUMÁN	AD	PRIVADO	NC	OK	386	-27.3447	-65.6169
CCS			CACHI	Cachi	SALTA	AD	PRIVADO	NC	OK	2510	-25.1052	-66.1572
CDA			SARGENTO CABRAL / CÓNDOR DEL AIRE	Sargento Cabral	SANTA FÉ	AD	PRIVADO	NC	OK	56	-33.4659	-60.6286
CDF			STOL COMODORO RIVADAVIA / CHACRAS DEL FARO (CDF) - DRSU - PRIVADO NO CONTROLADO		CHUBUT	AD		NC			-45.7783	-67.3736
CDI			CARCARAÑÁ / DI GIUSEPPE	Carcarañá	SANTA FÉ	AD	PRIVADO	NC	OK	89	-32.891	-61.1241
CDL			CAÑADA DE LUQUE / BIONDI – (CDL) - DRNO - PRIVADO NO CONTROLADO [** USO AGROAÉREO **]	Cañada de Luque	CÓRDOBA	AD	PRIVADO	NC		249	-30.7577	-63.7482
CDS			CAÑADÓN SECO	Cañadón Seco	SANTA CRUZ	AD	PRIVADO	NC	OK	90	-46.5381	-67.5597
CDU			CONCEPCIÓN DEL URUGUAY	Concepción del Uruguay	ENTRE RÍOS	AD	PUBLICO	NC	OK	34	-32.455	-58.3067
CED			MERCEDES	Villa Mercedes	SAN LUIS	AD	PUBLICO	NC	OK	515	-33.6422	-65.4205
CEJ			LAS CEJAS / AGROALAS S.R.L.	Las Cejas	TUCUMÁN	AD	PRIVADO	NC		346	-26.8697	-64.7458
CFU			CARHUÉ / FUMAGRO	Carhué	BUENOS AIRES	AD	PRIVADO	NC	OK	111	-37.2147	-62.7806
CHA			CHARATA	Charata	CHACO	AD	PUBLICO	NC	OK	92	-27.2164	-61.2101
CHC			CHAJARÍ / ESTANCIA LA CHOZA	Chajarí	ENTRE RÍOS	AD	PRIVADO	NC	OK	72	-30.539	-58.2929
CHJ			CHAJARÍ	Chajarí	ENTRE RÍOS	AD	PUBLICO	NC	OK	53	-30.7539	-58
CHM	SAHC	HOS	CHOS MALAL	Chos Malal	NEUQUÉN	AD	PUBLICO	NC	OK	850	-37.4442	-70.2231
CHO			CHOLILA	Cholila	CHUBUT	AD	PRIVADO	NC	OK	574	-42.4806	-71.4568
CHP	SAZY	CPC	SAN MARTÍN DE LOS ANDES / AVIADOR C. CAMPOS	San Martín de los Andes	NEUQUÉN	AD	PUBLICO	C	OK	783	-40.0753	-71.1372
CHR			CHACHARRAMENDI	Chacharramendi	LA PAMPA	AD	PUBLICO	NC	CERRADO	290	-37.34	-65.647
CHT			CHARATA / EL GRINGO	Charata	CHACO	AD	PRIVADO	NC	OK	92	-27.3063	-61.2104
CHY			CHIVILCOY	Chivilcoy	BUENOS AIRES	AD	PUBLICO	NC	OK	53	-34.9625	-60.0322
CIF			ARRECIFES / AEROCLUB	Arrecifes	BUENOS AIRES	AD	PRIVADO	NC	OK	43	-34.0785	-60.046
CII			CORRIENTES / ITA IBATÉ	Ita Ibate	CORRIENTES	AD	PRIVADO	NC		68	-27.4483	-57.4222
CIP			CIPOLLETTI / AEROCLUB	Cipolletti	RÍO NEGRO	AD	PUBLICO	NC	CERRADO	270	-38.8928	-67.9889
CIT			CORRIENTES / ITATÍ	Itatí	CORRIENTES	AD	PRIVADO	NC		60	-27.3033	-58.3153
CLD			CHAÑEAR LADEADO	Chañar Ladeado	SANTA FÉ	AD	PUBLICO	NC	OK	112	-33.3391	-62.0369
CLE			CORRALITO / LOMAS DEL ESPINILLO	Río Tercero	CÓRDOBA	AD	PRIVADO	NC	OK	439	-32.0881	-64.1697
CLH	SAVH	LHS	LAS HERAS	Las Heras	SANTA CRUZ	AD	PUBLICO	NC	OK	330	-46.5385	-68.9658
CLI			CALILEGUA	Calilegua	JUJUY	AD	PRIVADO	NC	OK	442	-23.7817	-64.7497
CLN			COLÓN (ENTRE RÍOS)	Colón	ENTRE RÍOS	AD	PUBLICO	NC	OK	20	-32.2608	-58.1561
CLP			CORONEL SUÁREZ / LA PISTA – (CLP) - DRCE – PRIVADO NO CONTROLADO [** USO AGROAÉREO **]	Coronel Suárez	BUENOS AIRES	AD	PRIVADO	NC	OK	259	-37.5788	-61.9079
CLT		CCT	COLONIA CATRIEL	Catriel	RÍO NEGRO	AD	PUBLICO	NC	CERRADO	313	-37.9082	-67.8288
CNA			CAÑUELAS	Cañuelas	BUENOS AIRES	AD	PUBLICO	NC	OK	30	-35.1117	-58.7264
CNO			CARMEN DE ARECO	Carmen de Areco	BUENOS AIRES	AD	PUBLICO	NC	OK	49	-34.4181	-59.8744
CNS			CANALS	Canals	CÓRDOBA	AD	PRIVADO	NC	OK	116	-33.5625	-62.8691
COA			ARIAS	Arias	CÓRDOBA	AD	PRIVADO	NC	OK	121	-33.6643	-62.3751
COL	SAZQ		RÍO COLORADO	Río Colorado	RÍO NEGRO	AD	PRIVADO	NC	OK	84	-38.995	-64.1403
CON			COLÓN / BUENOS AIRES	Colón	BUENOS AIRES	AD	PUBLICO	NC	OK	90	-33.9225	-61.0464
CPO	SADO		CAMPO DE MAYO	Estación San Miguel	BUENOS AIRES	AD	PRIVADO	NC	OK	24	-34.5343	-58.672
