RTA	VOR-DME	Reconquista	-29.2086	-59.6825	117100	7	slaved
RYD	VOR-DME	Villa Reynolds	-33.7286	-65.3811	115700	0	slaved
SAL	VOR-DME	Salta	-24.8523	-65.4839	116700	3	slaved
SAN	NDB	San Antonio Oeste	-40.7647	-65.0342	220	-2.3	modelo
SCZ	NDB	Santa Cruz	-50.0217	-68.5794	245	-10.5	modelo
SDE	VOR	Santiago Del Estero	-27.7794	-64.3181	114800	2	slaved
SIS	VOR-DME	Resistencia	-27.4469	-59.0572	115100	9.5	modelo
SJU	VOR-DME	San Julian	-49.3098	-67.8129	117700	-11	slaved
SNT	VOR-DME	San Antonio De Areco	-34.2194	-59.4356	117700	4	slaved
SRA	VOR	San Rafael	-34.5894	-68.3947	116900	-3	slaved
SRC	VOR-DME	Santa Rosa De Conlara	-32.3736	-65.1833	117500	2	modelo
STR	NDB	Santa Teresita	-36.5497	-56.6839	365	7.3	modelo
SVO	NDB	Sauce Viejo	-31.7117	-60.8064	405	6.3	modelo
T	NDB	Trelew	-43.2015	-65.2380	280	-4.1	modelo
TAR	NDB	Tartagal	-22.6278	-63.8192	210	7.3	modelo
TRC	VOR	Rio Cuarto	-33.0922	-64.2650	114200	0	slaved
TRE	VOR-DME	Trelew	-43.2025	-65.2472	115100	-5	slaved
TUC	VOR-DME	Tucuman	-26.8458	-65.1083	114100	2	slaved
U	NDB	San Luis	-33.3050	-66.3617	307	0.3	modelo
UIS	VOR	San Luis	-33.2694	-66.3608	116000	-1	slaved
USU	VOR	Ushuaia	-54.8381	-68.2842	113700	-13	slaved
VIE	VOR	Viedma	-40.8672	-63.0008	117100	-2	slaved
W	NDB	Villa Reynolds	-33.7367	-65.4000	237	1.1	modelo
Y	NDB	Goya	-29.0883	-59.2000	277	9.1	modelo
